N, nbOpSEL, tExecSEL (ms), nbOpBUL, tExecBUL (ms), nbOpINS, tExecINS (ms)
396,700213,0.202,1013700,0.287,505189,0.091
397,703938,0.207,1017432,0.299,507976,0.093
398,708230,0.197,1025341,0.279,511496,0.087
399,710620,0.234,1028077,0.329,512536,0.103
400,714489,0.212,1033976,0.299,515496,0.094
401,718099,0.256,1040543,0.363,518113,0.114
402,722205,0.201,1046800,0.284,521369,0.089
403,725754,0.212,1051657,0.302,523897,0.096
404,728084,0.203,1054789,0.287,524834,0.09
405,732833,0.208,1062228,0.297,528912,0.094
406,736218,0.226,1065643,0.323,531210,0.101
407,739668,0.219,1072273,0.312,533588,0.098
408,743531,0.225,1077720,0.322,536498,0.1
409,746519,0.229,1081389,0.325,538264,0.102
410,750290,0.227,1087195,0.323,541044,0.103
411,754526,0.22,1092699,0.312,544424,0.099
412,758646,0.214,1100376,0.304,547646,0.095
413,761351,0.239,1104515,0.34,549024,0.107
414,765477,0.212,1109022,0.302,552244,0.095
415,768308,0.228,1113836,0.325,553776,0.102
416,772505,0.229,1120133,0.323,557079,0.102
417,777280,0.227,1126345,0.322,561127,0.102
418,780004,0.231,1130215,0.331,562504,0.104
419,783835,0.228,1135182,0.325,565314,0.102
420,787408,0.217,1142308,0.31,567785,0.097
421,791155,0.226,1148074,0.32,570475,0.1
422,795740,0.244,1153910,0.349,574251,0.109
423,798451,0.277,1158051,0.427,575585,0.126
424,802892,0.303,1164148,0.433,579163,0.135
425,806521,0.266,1168957,0.387,581679,0.121
426,809908,0.26,1174251,0.373,583877,0.117
427,813458,0.278,1179463,0.4,586280,0.125
428,818007,0.251,1186012,0.359,589979,0.114
429,821992,0.33,1192521,0.493,592938,0.153
430,825520,0.641,1197285,1.002,595297,0.311
431,829884,0.685,1203571,1.078,598738,0.333
432,833107,0.494,1208495,0.754,600691,0.236
433,837474,0.376,1214895,0.542,604125,0.169
434,841603,0.348,1221090,0.495,607247,0.156
435,844656,0.357,1225820,0.512,608962,0.161
436,849087,0.246,1231265,0.351,612466,0.11
437,853376,0.271,1238809,0.388,615778,0.122
438,856727,0.259,1241518,0.365,617865,0.115
439,860012,0.258,1248103,0.37,619863,0.117
440,864748,0.258,1255306,0.369,623741,0.117
441,868830,0.25,1259789,0.358,626763,0.114
442,872538,0.26,1265965,0.371,629294,0.116
443,875771,0.299,1271077,0.428,631203,0.135
444,881044,0.28,1276855,0.405,635758,0.127
445,884214,0.28,1283421,0.402,637575,0.127
446,887792,0.321,1288827,0.473,639916,0.149
447,892505,0.283,1293791,0.403,643729,0.128
448,895887,0.292,1300081,0.431,645805,0.132
449,898560,0.247,1303587,0.354,646953,0.112
450,904838,0.258,1313749,0.372,652785,0.117
451,909071,0.282,1319534,0.412,655951,0.129
452,911893,0.253,1324129,0.365,657279,0.114
453,916012,0.251,1330370,0.359,660287,0.113
454,920239,0.292,1334763,0.42,663431,0.132
455,923898,0.285,1341576,0.415,665831,0.13
456,928658,0.321,1347842,0.466,669657,0.148
457,932890,0.28,1354588,0.407,672791,0.128
458,937143,0.304,1359289,0.436,675948,0.139
459,940867,0.292,1364803,0.423,678411,0.135
460,945782,0.309,1372830,0.449,682419,0.14
461,949309,0.347,1378694,0.5,684617,0.157
462,953577,0.341,1385035,0.494,687771,0.156
463,956738,0.33,1388065,0.476,689483,0.15
464,962288,0.323,1398495,0.471,694293,0.147
465,966003,0.297,1402852,0.427,696714,0.134
466,971076,0.315,1409397,0.424,700896,0.133
467,973982,0.302,1414349,0.439,702254,0.14
468,978329,0.288,1421581,0.42,705481,0.133
469,982849,0.288,1428153,0.415,708927,0.131
470,986752,0.299,1433548,0.431,711567,0.136
471,990399,0.29,1438220,0.415,713868,0.13
472,996274,0.309,1447076,0.462,719060,0.138
473,1000425,0.315,1453271,0.464,722006,0.144
474,1002402,0.298,1456844,0.429,722120,0.135
475,1007782,0.291,1462958,0.419,726655,0.133
476,1012597,0.323,1472454,0.472,730448,0.148
477,1016255,0.293,1477807,0.455,732732,0.133
478,1020936,0.31,1483201,0.449,736341,0.141
479,1024246,0.295,1488096,0.427,738162,0.134
480,1028736,0.328,1495824,0.474,741512,0.149
481,1033119,0.301,1500225,0.431,744719,0.136
482,1038201,0.277,1507943,0.4,748828,0.127
483,1041603,0.285,1512709,0.415,750748,0.13
484,1046621,0.3,1520779,0.434,754764,0.136
485,1050326,0.299,1525789,0.432,757068,0.136
486,1055609,0.291,1534364,0.418,761419,0.133
487,1059165,0.298,1539649,0.428,763518,0.136
488,1063167,0.329,1543787,0.473,766192,0.149
489,1069028,0.322,1551927,0.463,771278,0.148
490,1072589,0.344,1557667,0.498,773368,0.158
491,1076544,0.302,1564062,0.437,775966,0.138
492,1080500,0.303,1570480,0.437,778559,0.138
493,1085970,0.327,1577684,0.472,783116,0.151
494,1089413,0.327,1584604,0.474,785032,0.15
495,1095365,0.311,1592769,0.453,790206,0.144
496,1098172,0.314,1597247,0.456,791285,0.144
497,1103193,0.302,1604128,0.438,795238,0.138
498,1108222,0.383,1611764,0.557,799195,0.176
499,1112654,0.406,1618609,0.589,802370,0.19
