N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
478, 1020656, 17355, 0.314, 0.130
479, 1024215, 17459, 0.296, 0.063
480, 1028876, 17552, 0.302, 0.073
481, 1033033, 17935, 0.289, 0.045
482, 1037190, 18357, 0.345, 0.124
483, 1041966, 18169, 0.312, 0.041
484, 1047513, 17950, 0.347, 0.092
485, 1049510, 18375, 0.348, 0.123
486, 1055032, 17769, 0.311, 0.064
487, 1059756, 18835, 0.308, 0.037
488, 1064314, 18608, 0.291, 0.017
489, 1067653, 17928, 0.304, 0.059
490, 1071695, 18224, 0.298, 0.036
491, 1077265, 18746, 0.296, 0.028
492, 1081330, 18156, 0.305, 0.052
493, 1086373, 19025, 0.305, 0.036
494, 1089633, 18245, 0.342, 0.099
495, 1094800, 19256, 0.339, 0.061
496, 1099203, 18558, 0.398, 0.162
497, 1103169, 18485, 0.341, 0.079
498, 1108017, 18591, 0.369, 0.065
499, 1111886, 18258, 0.373, 0.131
500, 1116053, 18706, 0.329, 0.076
